"Date","Source","Site ID","POC","Daily Max 1-hour SO2 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"02/16/2023","AQS","260650018","1","0.3","ppb","0","LANSING / FILLEY STREET","23","96.0000","42401","Sulfur dioxide","060","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"02/17/2023","AQS","260650018","1","0.3","ppb","0","LANSING / FILLEY STREET","23","96.0000","42401","Sulfur dioxide","060","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"02/18/2023","AQS","260650018","1","0.6","ppb","0","LANSING / FILLEY STREET","23","96.0000","42401","Sulfur dioxide","060","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"02/19/2023","AQS","260650018","1","0.6","ppb","0","LANSING / FILLEY STREET","23","96.0000","42401","Sulfur dioxide","060","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"02/20/2023","AQS","260650018","1","0.3","ppb","0","LANSING / FILLEY STREET","23","96.0000","42401","Sulfur dioxide","060","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"02/21/2023","AQS","260650018","1","0.5","ppb","0","LANSING / FILLEY STREET","21","88.0000","42401","Sulfur dioxide","060","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"02/22/2023","AQS","260650018","1","1","ppb","1","LANSING / FILLEY STREET","23","96.0000","42401","Sulfur dioxide","060","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"02/23/2023","AQS","260650018","1","0.3","ppb","0","LANSING / FILLEY STREET","23","96.0000","42401","Sulfur dioxide","060","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"02/24/2023","AQS","260650018","1","0.3","ppb","0","LANSING / FILLEY STREET","23","96.0000","42401","Sulfur dioxide","060","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"02/25/2023","AQS","260650018","1","0.4","ppb","0","LANSING / FILLEY STREET","23","96.0000","42401","Sulfur dioxide","060","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"02/26/2023","AQS","260650018","1","0.3","ppb","0","LANSING / FILLEY STREET","23","96.0000","42401","Sulfur dioxide","060","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"02/27/2023","AQS","260650018","1","0.8","ppb","0","LANSING / FILLEY STREET","23","96.0000","42401","Sulfur dioxide","060","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"02/28/2023","AQS","260650018","1","0.3","ppb","0","LANSING / FILLEY STREET","23","96.0000","42401","Sulfur dioxide","060","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"03/01/2023","AQS","260650018","1","0.4","ppb","0","LANSING / FILLEY STREET","21","88.0000","42401","Sulfur dioxide","060","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"03/02/2023","AQS","260650018","1","0.4","ppb","0","LANSING / FILLEY STREET","23","96.0000","42401","Sulfur dioxide","060","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"03/03/2023","AQS","260650018","1","0.2","ppb","0","LANSING / FILLEY STREET","23","96.0000","42401","Sulfur dioxide","060","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"03/04/2023","AQS","260650018","1","0.2","ppb","0","LANSING / FILLEY STREET","23","96.0000","42401","Sulfur dioxide","060","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"03/05/2023","AQS","260650018","1","0.3","ppb","0","LANSING / FILLEY STREET","23","96.0000","42401","Sulfur dioxide","060","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"03/06/2023","AQS","260650018","1","0.3","ppb","0","LANSING / FILLEY STREET","23","96.0000","42401","Sulfur dioxide","060","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"03/07/2023","AQS","260650018","1","0.4","ppb","0","LANSING / FILLEY STREET","23","96.0000","42401","Sulfur dioxide","060","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"03/08/2023","AQS","260650018","1","0.3","ppb","0","LANSING / FILLEY STREET","23","96.0000","42401","Sulfur dioxide","060","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"03/09/2023","AQS","260650018","1","0.5","ppb","0","LANSING / FILLEY STREET","23","96.0000","42401","Sulfur dioxide","060","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"03/10/2023","AQS","260650018","1","0.3","ppb","0","LANSING / FILLEY STREET","23","96.0000","42401","Sulfur dioxide","060","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"03/11/2023","AQS","260650018","1","0.3","ppb","0","LANSING / FILLEY STREET","23","96.0000","42401","Sulfur dioxide","060","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"03/12/2023","AQS","260650018","1","0.3","ppb","0","LANSING / FILLEY STREET","23","96.0000","42401","Sulfur dioxide","060","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"03/13/2023","AQS","260650018","1","0.3","ppb","0","LANSING / FILLEY STREET","22","92.0000","42401","Sulfur dioxide","060","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"03/14/2023","AQS","260650018","1","0.3","ppb","0","LANSING / FILLEY STREET","23","96.0000","42401","Sulfur dioxide","060","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
