Date,Site ID,Local Site Name,AQS Parameter Description,Daily Mean PM2.5 Concentration,Units,Daily AQI Value,Local Site Name_ozone,AQS Parameter Description_ozone,Daily Max 8-hour Ozone Concentration,Units_ozone,Daily AQI Value_ozone,Local Site Name_so2,AQS Parameter Description_so2,Daily Max 1-hour SO2 Concentration,Units_so2,Daily AQI Value_so2,Local Site Name_no2,AQS Parameter Description_no2,Daily Max 1-hour NO2 Concentration,Units_no2,Daily AQI Value_no2,Local Site Name_co,Site Latitude,Site Longitude,AQS Parameter Description_co,Daily Max 8-hour CO Concentration,Units_co,Daily AQI Value_co,Local Site Name_pm10,AQS Parameter Description_pm10,Daily Mean PM10 Concentration,Units_pm10,Daily AQI Value_pm10,Local Site Name_pb,AQS Parameter Description_pb,Daily Mean Pb Concentration,Units_pb,Daily AQI Value_pb
04/19/2023,260050003,Holland,PM2.5 - Local Conditions,4.7,ug/m3 LC,26,Holland,Ozone,0.047,ppm,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/20/2023,260050003,Holland,PM2.5 - Local Conditions,9.2,ug/m3 LC,51,Holland,Ozone,0.054,ppm,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/21/2023,260050003,Holland,PM2.5 - Local Conditions,2.5,ug/m3 LC,14,Holland,Ozone,0.043,ppm,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/22/2023,260050003,Holland,PM2.5 - Local Conditions,3.2,ug/m3 LC,18,Holland,Ozone,0.043,ppm,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/23/2023,260050003,Holland,PM2.5 - Local Conditions,1.4,ug/m3 LC,8,Holland,Ozone,0.038,ppm,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/24/2023,260050003,Holland,PM2.5 - Local Conditions,5.1,ug/m3 LC,28,Holland,Ozone,0.048,ppm,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/25/2023,260050003,Holland,PM2.5 - Local Conditions,6.0,ug/m3 LC,33,Holland,Ozone,0.042,ppm,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/26/2023,260050003,Holland,PM2.5 - Local Conditions,1.9,ug/m3 LC,11,Holland,Ozone,0.038,ppm,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/27/2023,260050003,Holland,PM2.5 - Local Conditions,5.8,ug/m3 LC,32,Holland,Ozone,0.056,ppm,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/28/2023,260050003,Holland,PM2.5 - Local Conditions,9.4,ug/m3 LC,52,Holland,Ozone,0.048,ppm,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/29/2023,260050003,Holland,PM2.5 - Local Conditions,7.8,ug/m3 LC,43,Holland,Ozone,0.048,ppm,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/30/2023,260050003,Holland,PM2.5 - Local Conditions,2.6,ug/m3 LC,14,Holland,Ozone,0.033,ppm,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/01/2023,260050003,Holland,PM2.5 - Local Conditions,1.1,ug/m3 LC,6,Holland,Ozone,0.035,ppm,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/02/2023,260050003,Holland,PM2.5 - Local Conditions,1.4,ug/m3 LC,8,Holland,Ozone,0.036,ppm,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/03/2023,260050003,Holland,PM2.5 - Local Conditions,1.8,ug/m3 LC,10,Holland,Ozone,0.033,ppm,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/04/2023,260050003,Holland,PM2.5 - Local Conditions,2.6,ug/m3 LC,14,Holland,Ozone,0.047,ppm,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/05/2023,260050003,Holland,PM2.5 - Local Conditions,5.2,ug/m3 LC,29,Holland,Ozone,0.06,ppm,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/06/2023,260050003,Holland,PM2.5 - Local Conditions,5.5,ug/m3 LC,31,Holland,Ozone,0.047,ppm,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/07/2023,260050003,Holland,PM2.5 - Local Conditions,9.3,ug/m3 LC,51,Holland,Ozone,0.049,ppm,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/08/2023,260050003,Holland,PM2.5 - Local Conditions,4.4,ug/m3 LC,24,Holland,Ozone,0.04,ppm,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/09/2023,260050003,Holland,PM2.5 - Local Conditions,3.9,ug/m3 LC,22,Holland,Ozone,0.045,ppm,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/10/2023,260050003,Holland,PM2.5 - Local Conditions,6.0,ug/m3 LC,33,Holland,Ozone,0.061,ppm,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/11/2023,260050003,Holland,PM2.5 - Local Conditions,6.4,ug/m3 LC,36,Holland,Ozone,0.07,ppm,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/12/2023,260050003,Holland,PM2.5 - Local Conditions,12.0,ug/m3 LC,56,Holland,Ozone,0.056,ppm,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/13/2023,260050003,Holland,PM2.5 - Local Conditions,11.9,ug/m3 LC,56,Holland,Ozone,0.05,ppm,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/14/2023,260050003,Holland,PM2.5 - Local Conditions,5.8,ug/m3 LC,32,Holland,Ozone,0.045,ppm,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
