"Date","Source","Site ID","POC","Daily Mean Pb Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"05/24/2023","AQS","261470031","1","0.004","ug/m3 LC",".","PORT HURON-RURAL","1","100.0000","14129","Lead (TSP) LC","189","19820","Detroit-Warren-Dearborn, MI","26","Michigan","147","St. Clair","42.9820930888109","-82.4500804969269"
"05/30/2023","AQS","261470031","1","0.092","ug/m3 LC",".","PORT HURON-RURAL","1","100.0000","14129","Lead (TSP) LC","189","19820","Detroit-Warren-Dearborn, MI","26","Michigan","147","St. Clair","42.9820930888109","-82.4500804969269"
"06/05/2023","AQS","261470031","1","0.003","ug/m3 LC",".","PORT HURON-RURAL","1","100.0000","14129","Lead (TSP) LC","189","19820","Detroit-Warren-Dearborn, MI","26","Michigan","147","St. Clair","42.9820930888109","-82.4500804969269"
"06/11/2023","AQS","261470031","1","0.001","ug/m3 LC",".","PORT HURON-RURAL","1","100.0000","14129","Lead (TSP) LC","189","19820","Detroit-Warren-Dearborn, MI","26","Michigan","147","St. Clair","42.9820930888109","-82.4500804969269"
"06/17/2023","AQS","261470031","1","0.002","ug/m3 LC",".","PORT HURON-RURAL","1","100.0000","14129","Lead (TSP) LC","189","19820","Detroit-Warren-Dearborn, MI","26","Michigan","147","St. Clair","42.9820930888109","-82.4500804969269"
"06/23/2023","AQS","261470031","1","0.003","ug/m3 LC",".","PORT HURON-RURAL","1","100.0000","14129","Lead (TSP) LC","189","19820","Detroit-Warren-Dearborn, MI","26","Michigan","147","St. Clair","42.9820930888109","-82.4500804969269"
"06/29/2023","AQS","261470031","1","0.064","ug/m3 LC",".","PORT HURON-RURAL","1","100.0000","14129","Lead (TSP) LC","189","19820","Detroit-Warren-Dearborn, MI","26","Michigan","147","St. Clair","42.9820930888109","-82.4500804969269"
"07/05/2023","AQS","261470031","1","0.055","ug/m3 LC",".","PORT HURON-RURAL","1","100.0000","14129","Lead (TSP) LC","189","19820","Detroit-Warren-Dearborn, MI","26","Michigan","147","St. Clair","42.9820930888109","-82.4500804969269"
"07/11/2023","AQS","261470031","1","0.011","ug/m3 LC",".","PORT HURON-RURAL","1","100.0000","14129","Lead (TSP) LC","189","19820","Detroit-Warren-Dearborn, MI","26","Michigan","147","St. Clair","42.9820930888109","-82.4500804969269"
"07/17/2023","AQS","261470031","1","0.024","ug/m3 LC",".","PORT HURON-RURAL","1","100.0000","14129","Lead (TSP) LC","189","19820","Detroit-Warren-Dearborn, MI","26","Michigan","147","St. Clair","42.9820930888109","-82.4500804969269"
"07/24/2023","AQS","261470031","1","0.022","ug/m3 LC",".","PORT HURON-RURAL","1","100.0000","14129","Lead (TSP) LC","189","19820","Detroit-Warren-Dearborn, MI","26","Michigan","147","St. Clair","42.9820930888109","-82.4500804969269"
"07/29/2023","AQS","261470031","1","0.002","ug/m3 LC",".","PORT HURON-RURAL","1","100.0000","14129","Lead (TSP) LC","189","19820","Detroit-Warren-Dearborn, MI","26","Michigan","147","St. Clair","42.9820930888109","-82.4500804969269"
"08/04/2023","AQS","261470031","1","0.001","ug/m3 LC",".","PORT HURON-RURAL","1","100.0000","14129","Lead (TSP) LC","189","19820","Detroit-Warren-Dearborn, MI","26","Michigan","147","St. Clair","42.9820930888109","-82.4500804969269"
